symbol,companyName,exchange,marketCap,price,ceo,enterpriseValue
ENVA,"Enova International, Inc.",NYSE,4195095768.0,168.58,Steven E. Cunningham,8382711599.0
CNO,"CNO Financial Group, Inc.",NYSE,4185883548.0,44.66,Gary Chandru Bhojwani,7247594610.0
REGCP,Regency Centers Corporation,NASDAQ,4183827985.0,22.94,Lisa Palmer,18885265462.0
SLGN,Silgan Holdings Inc.,NYSE,4179634429.0,39.55,Adam J. Greenlee,7799460999.0
GPGI,"GPGI, Inc.",NYSE,4173998400.0,14.4,Jonathan C. Wilk,2322542800.0
SKY,"Champion Homes, Inc.",NYSE,4169820901.0,74.65,Timothy Mark Larson,4968899960.0
ACHR,Archer Aviation Inc.,NYSE,4169418400.0,5.6,Adam D. Goldstein,3715694415.0
PVH,PVH Corp.,NYSE,4168849048.0,91.0,Stefan Larsson,6567840000.0
CUZ,Cousins Properties Incorporated,NYSE,4163719000.0,25.06,Michael Colin Connolly,7998586820.0
GPI,"Group 1 Automotive, Inc.",NYSE,4146030646.0,349.21,Daryl Adam Kenningham,10911370000.0
SAIC,Science Applications International Corporation,NASDAQ,4130478009.0,95.13,James C. Reagan,7235488000.0
TFSL,TFS Financial Corporation,NASDAQ,4130002161.0,14.72,Marc A. Stefanski,8144581835.0
GFF,Griffon Corporation,NYSE,4128312103.0,88.63,Ronald J. Kramer,4946662100.0
FSLY,"Fastly, Inc.",NASDAQ,4126549620.0,26.39,Charles Compton,1745086360.0
AZZ,AZZ Inc.,NYSE,4123182597.0,137.99,Thomas E. Ferguson,4610961899.0
TREX,"Trex Company, Inc.",NYSE,4117122299.0,39.63,Bryan Horix Fairbanks,3979215882.0
FULT,Fulton Financial Corporation,NASDAQ,4116419940.0,21.39,Curtis J. Myers,4568888369.0
AD,"Array Digital Infrastructure, Inc.",NYSE,4113970384.0,47.89,Anthony J. Carlson,6202353960.0
VVV,Valvoline Inc.,NYSE,4112301180.0,32.3,Lori A. Flees,6208689000.0
BANC-PF,"Banc of California, Inc.",NYSE,4110842200.0,25.41,Jared Wolff,
ENPH,"Enphase Energy, Inc.",NASDAQ,4110341245.0,31.19,Badrinarayanan Kothandaraman,4973207099.0
ACLS,"Axcelis Technologies, Inc.",NASDAQ,4105831292.0,133.61,Russell J. Low,2433533160.0
ASBA,Associated Banc-Corp,NYSE,4101958320.0,24.87,Andrew J. Harmening,
HP,"Helmerich & Payne, Inc.",NYSE,4098821975.0,41.05,Raymond John Adams,4288801480.0
VSCO,Victoria's Secret & Co.,NYSE,4095770300.0,50.9,Hillary Super,6875442240.0
THO,"Thor Industries, Inc.",NYSE,4089333791.0,77.75,Robert W. Martin,5166639651.0
